timestamp	run_id	n_layer	n_embd	n_head	embedding_lr	unembedding_lr	matrix_lr	scalar_lr	weight_decay	warmup_ratio	batch_size	val_bpb	training_time	peak_vram_mb	mfu_percent	num_params_M	num_steps	depth	status	holdout_val_bpb	budget_shortfall_pct	device	region_id	window_s_fraction	seed
2026-08-10T18:27:47	geom_r0.02_c4_s1	21	960	6	0.07853220589607403	0.0040748958659892	0.02556711387857187	0.21438889930526572	0.08889554558757408	0.17159166709248083	21160	1.250046	666.2	7325.1	3.46	334.5	611	21	remote_ok		0.0	1		0.3666688510594371	1
2026-08-10T18:29:20	geom_r0.02_c4_s2	21	960	6	0.07853220589607403	0.0040748958659892	0.02556711387857187	0.21438889930526572	0.08889554558757408	0.17159166709248083	21160	1.2484	739.7	7325.1	3.12	334.5	611	21	remote_ok		0.0	0		0.3666688510594371	2
2026-08-10T18:45:31	geom_r0.05_c1_s1	21	960	6	0.091052621234525	0.0033119955814453162	0.02319687099064333	0.19558254728734192	0.09342333961908975	0.15373150386762413	19852	1.247247	658.7	7325.1	3.5	334.5	611	21	remote_ok		0.0	5		0.37333664472941364	1
2026-08-10T18:45:32	geom_r0.05_c0_s1	21	960	6	0.07966888596020537	0.004529198504537652	0.01795074992179775	0.2942979450188379	0.08815548229755502	0.17897337343683975	26083	1.269895	649.6	7325.1	3.53	334.5	470	21	remote_ok		0.0	6		0.391207934611402	1
2026-08-10T18:45:45	geom_r0.05_c0_s2	21	960	6	0.07966888596020537	0.004529198504537652	0.01795074992179775	0.2942979450188379	0.08815548229755502	0.17897337343683975	26083	1.268825	658.6	7325.1	3.48	334.5	470	21	remote_ok		0.0	1		0.391207934611402	2
2026-08-10T18:47:35	geom_r0.05_c1_s42	21	960	6	0.091052621234525	0.0033119955814453162	0.02319687099064333	0.19558254728734192	0.09342333961908975	0.15373150386762413	19852	1.245548	749.2	7325.1	3.08	334.5	611	21	remote_ok		0.0	0		0.37333664472941364	42
2026-08-10T19:03:38	geom_r0.05_c2_s42	21	960	6	0.09225735159700411	0.0038479517681431234	0.02042005540700779	0.19367645297687153	0.08538477762502282	0.15029969053151748	21368	1.2449	649.1	7317.0	3.57	334.5	611	21	remote_ok		0.0	1		0.3536262097736405	42
2026-08-10T19:03:53	geom_r0.05_c1_s2	21	960	6	0.091052621234525	0.0033119955814453162	0.02319687099064333	0.19558254728734192	0.09342333961908975	0.15373150386762413	19852	1.245142	660.2	7325.1	3.49	334.5	611	21	remote_ok		0.0	6		0.37333664472941364	2
2026-08-10T19:04:10	geom_r0.05_c4_s42	21	960	6	0.12598030137694358	0.0038344492967736466	0.020904081012848227	0.22091589821906976	0.13815003855308022	0.17344637439170696	22576	1.246499	672.8	7336.7	3.4	334.5	555	21	remote_ok		0.0	5		0.4094797739771399	42
2026-08-10T19:04:24	geom_r0.05_c3_s42	21	960	6	0.07265994553897842	0.00430756593647673	0.017560499164456397	0.23672264791992728	0.10494468755957452	0.179475371183823	24393	1.264187	678.6	7301.6	3.43	334.5	509	21	remote_ok		0.0	0		0.309322699870711	42
2026-08-10T19:19:19	geom_r0.10_c0_s1	21	960	6	0.10238413269081548	0.005607906903705533	0.030302095456592314	0.13674839712680606	0.15826246433656088	0.19011184254202476	29373	1.262348	584.2	7295.1	3.99	334.5	436	21	remote_ok		0.0	5		0.22431667571450853	1
2026-08-10T19:20:36	geom_r0.10_c0_s42	21	960	6	0.10238413269081548	0.005607906903705533	0.030302095456592314	0.13674839712680606	0.15826246433656088	0.19011184254202476	29373	1.259223	645.1	7295.1	3.61	334.5	436	21	remote_ok		0.0	0		0.22431667571450853	42
2026-08-10T19:21:00	geom_r0.05_c4_s1	21	960	6	0.12598030137694358	0.0038344492967736466	0.020904081012848227	0.22091589821906976	0.13815003855308022	0.17344637439170696	22576	1.247795	675.8	7336.7	3.38	334.5	555	21	remote_ok		0.0	6		0.4094797739771399	1
2026-08-10T19:21:13	geom_r0.05_c4_s2	21	960	6	0.12598030137694358	0.0038344492967736466	0.020904081012848227	0.22091589821906976	0.13815003855308022	0.17344637439170696	22576	1.248352	683.8	7336.7	3.34	334.5	555	21	remote_ok		0.0	1		0.4094797739771399	2
2026-08-10T19:36:08	geom_r0.10_c0_s2	21	960	6	0.10238413269081548	0.005607906903705533	0.030302095456592314	0.13674839712680606	0.15826246433656088	0.19011184254202476	29373	1.261877	584.2	7295.1	3.99	334.5	436	21	remote_ok		0.0	6		0.22431667571450853	2
2026-08-10T19:36:52	geom_r0.10_c2_s1	21	960	6	0.08801600295514099	0.004649827672874394	0.012314048810513694	0.14989366249998187	0.02853833000790819	0.16885084781623635	19434	1.260867	629.5	7301.6	3.72	334.5	679	21	remote_ok		0.0	5		0.3009573579267607	1
2026-08-10T19:36:54	geom_r0.10_c2_s42	21	960	6	0.08801600295514099	0.004649827672874394	0.012314048810513694	0.14989366249998187	0.02853833000790819	0.16885084781623635	19434	inf						21	remote_error			0		0.3009573579267607	42
2026-08-10T19:36:54	geom_r0.10_c1_s42	21	960	6	0.1222007125629289	0.007113456991750353	0.020249860042231334	0.212752926586836	0.1555903660895832	0.15413890204519165	24712	inf						21	remote_error			1		0.41738779049968855	42
2026-08-10T19:36:54	geom_r0.10_c2_s2	21	960	6	0.08801600295514099	0.004649827672874394	0.012314048810513694	0.14989366249998187	0.02853833000790819	0.16885084781623635	19434	inf						21	remote_error					0.3009573579267607	2
2026-08-10T19:36:54	geom_r0.10_c4_s42	21	960	6	0.10749759771613672	0.004404582658231099	0.031462752120139235	0.1451450403674075	0.07516893989214836	0.15691471895758102	12997	inf						21	remote_error					0.40553481620018605	42
2026-08-10T19:36:54	geom_r0.10_c3_s42	21	960	6	0.06855329511614161	0.007645302790531012	0.020326453422142586	0.23325492332853334	0.09546400405438805	0.17335611727588407	16736	inf						21	remote_error					0.5224640556572189	42
2026-08-10T19:36:54	geom_r0.10_c4_s1	21	960	6	0.10749759771613672	0.004404582658231099	0.031462752120139235	0.1451450403674075	0.07516893989214836	0.15691471895758102	12997	inf						21	remote_error					0.40553481620018605	1
2026-08-10T19:36:54	geom_depth_neighbour_s1	22	960	6	0.0886776573279423	0.003955934722681367	0.023762701040555865	0.2101414489776221	0.09338780539110303	0.17311601489782336	23180	inf						22	remote_error					0.36455016024410725	1
2026-08-10T19:36:54	geom_r0.10_c4_s2	21	960	6	0.10749759771613672	0.004404582658231099	0.031462752120139235	0.1451450403674075	0.07516893989214836	0.15691471895758102	12997	inf						21	remote_error					0.40553481620018605	2
2026-08-10T19:36:54	geom_depth_neighbour_s42	22	960	6	0.0886776573279423	0.003955934722681367	0.023762701040555865	0.2101414489776221	0.09338780539110303	0.17311601489782336	23180	inf						22	remote_error					0.36455016024410725	42
2026-08-10T19:36:54	geom_depth_neighbour_s2	22	960	6	0.0886776573279423	0.003955934722681367	0.023762701040555865	0.2101414489776221	0.09338780539110303	0.17311601489782336	23180	inf						22	remote_error					0.36455016024410725	2
2026-08-10T19:36:54	geom_width_neighbour_s42	21	768	6	0.0886776573279423	0.003955934722681367	0.023762701040555865	0.2101414489776221	0.09338780539110303	0.17311601489782336	23180	inf						21	remote_error					0.36455016024410725	42
2026-08-10T19:36:54	geom_width_neighbour_s1	21	768	6	0.0886776573279423	0.003955934722681367	0.023762701040555865	0.2101414489776221	0.09338780539110303	0.17311601489782336	23180	inf						21	remote_error					0.36455016024410725	1
